S0rvo0, S0rvo30, S0rvo60, S0rvo90, S0rvo120, S0rvo150, S0rvo180, Action
59.6907 ,60,60,54.1581 ,10.3608 ,14.7766 ,60, 0
34.5533 ,60,8.90034 ,7.73196 ,8.52234 ,60,60, 1
35.567 ,53.4192 ,60,60,9.69072 ,11.9416 ,60, 0
38.6598 ,49.2783 ,60,60,9.29553 ,6.39175 ,9.34708 , 0
39.0378 ,41.0309 ,60,10.5155 ,7.38832 ,8.2646 ,60,  0
38.6598 ,41.1168 ,11.1856 ,9.27835 ,60,60,60, 1
36.5464 ,60,6.64948 ,5.25773 ,7.68041 ,60,60, 1
37.4227 ,29.1753 ,5.24055 ,8.31615 ,60,60,60, 2
40.0172 ,10.0172 ,5.6701 ,39.9313 ,60,60,60, 2
37.5945 ,42.268 ,6.90722 ,60,60,36.8728 ,60, 2
36.9931 ,8.48797 ,7.25086 ,60,54.2783 ,36.0481 ,60, 2
13.4708 ,25.4296 ,60,60,60,60,60, 2 
33.4708 ,10.8419 ,60,60,60,60,60, 2
13.3849 ,60,60,60,60,60,60, 2
8.95189 ,9.57045 ,60,60,60,53.2474 ,60, 2
2.5773 ,7.42268 ,9.36426 ,60,60,60,45.9106 , 2
60,5.60137 ,4.38144 ,7.1134 ,31.5292 ,60,60, 2
37.6976 ,60,5.58419 ,6.70103 ,9.98282 ,60,60, 1
60,60,5.72165 ,4.74227 ,6.03093 ,60,60, 1
60,42.543 ,8.24742 ,6.13402 ,7.14777 ,60,60, 2
40.2749 ,60,60,7.74914 ,8.16151 ,15.189 ,60, 1
43.2818 ,10.189 ,6.01374 ,60,60,60,60, 2
44.0893 ,8.83162 ,9.29553 ,60,60,60,60, 2 
60,60,60,60,8.29897 ,8.33333 ,11.7354 , 0
60,45.8763 ,60,60,60,6.47766 ,7.18213 , 0
60,49.6564 ,60,60,8.78007 ,5.9622 ,6.4433 , 0
60,60,60,60,7.23368 ,5.9622 ,7.45704 , 0
60,60,60,8.47079 ,5.24055 ,5.6701 ,7.68041 , 0
42.3196 ,60,60,6.01374 ,5.30928 ,5.56701 ,60, 0
47.921 ,60,60,5.22337 ,4.74227 ,48.3505 ,60, 0
60,60,7.7835 ,5.17182 ,5.65292 ,60,60,1
58.6942 ,60,6.82131 ,5.17182 ,6.49484 ,60,60, 1
42.3368 ,52.646 ,6.97594 ,5.61856 ,60,60,60, 1
42.4399 ,60,6.04811 ,8.31615 ,60,60,60, 2
60,10.4467 ,6.4433 ,44.5361 ,60,60,60, 2
41.4433 ,8.05842 ,6.46048 ,60,60,60,60, 2
8.81443 ,8.0756 ,52.2165 ,60,60,60,60, 2
9.19244 ,9.53608 ,60,60,60,60,60, 2
11.1856 ,15.7216 ,60,33.1443 ,60,60,60, 2
39.2096 ,60,60,60,60,60,60, 2
13.5395 ,15.0 ,60,60,60,60,60, 2
12.3711 ,12.6976 ,60,60,60,60,60, 2
12.4399 ,11.3746 ,60,60,60,60,60, 2
14.5533 ,11.5636 ,11.1512 ,60,60,60,60, 2
41.5807 ,11.0825 ,9.55326 ,11.1512 ,60,60,60, 2
39.7079 ,13.5911 ,9.12371 ,9.24398 ,55.2405 ,60,60, 1
41.8385 ,60,8.76289 ,8.41924 ,11.0825 ,60,60, 1
44.5705 ,60,8.48797 ,8.02406 ,8.91753 ,60,60, 1
44.1409 ,60,10.0 ,8.00687 ,9.60481 ,60,60, 1
43.6426 ,32.8351 ,60,7.66323 ,8.47079 ,12.354 ,60, 1
60,60,11.9931 ,9.89691 ,10.5842 ,60,60, 1
44.8797 ,45.5498 ,11.134 ,9.31271 ,13.4192 ,60,60, 1
49.5533 ,60,12.9553 ,11.134 ,15.756 ,60,60, 1
60,38.6942 ,14.5533 ,13.5395 ,20.2921 ,60,60, 1
48.7801 ,60,17.3024 ,15.8419 ,18.677 ,60,60, 1
44.9828 ,60,13.866 ,13.6942 ,60,54.2096 ,60, 2
41.9416 ,17.268 ,13.2646 ,14.1409 ,60,47.1478 ,60, 2
40.2405 ,15.8247 ,13.2818 ,15.2234 ,60,60,60, 2
60,14.8969 ,13.3505 ,26.0481 ,60,60,60, 2
16.4089 ,13.8316 ,14.1237 ,44.5876 ,60,60,60, 2
14.9141 ,13.7629 ,14.7079 ,60,47.2165 ,60,60, 2
14.1924 ,14.433 ,60,54.2096 ,60,60,60, 2
15.4467 ,14.811 ,60,60,60,60,60, 2
15.2577 ,16.134 ,60,60,60,60,60, 2
15.8591 ,17.354 ,60,60,60,60,60, 2
16.4777 ,18.5911 ,60,60,60,60,60, 2
18.2302 ,20.2062 ,60,54.9313 ,60,60,60, 2
17.1649 ,18.3677 ,60,59.9313 ,60,60,60, 2 
18.6426 ,16.0997 ,19.1409 ,60,60,60,60, 2
41.0309 ,17.6117 ,15.9278 ,60,58.9175 ,60,60,2
47.8694 ,60,16.1684 ,17.7663 ,60,45.4124 ,60, 1
60,60,16.4605 ,17.0103 ,60,54.3986 ,60, 1
41.6667 ,60,17.1134 ,16.5464 ,60,43.8316 ,60, 1
42.4227 ,60,19.244 ,16.701 ,19.433 ,60,60, 1


























